0.00.054.062 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.055.954 W srv  llama_server: -----------------
0.00.055.961 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.055.962 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.055.962 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.055.963 W srv  llama_server: -----------------
0.00.058.604 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.01.818.728 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.818.740 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.818.755 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.01.818.760 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.01.818.765 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.01.818.784 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.01.818.790 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.818.795 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.818.801 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.01.818.806 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.818.811 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.01.818.819 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.818.825 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.818.831 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.818.846 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.04.635.278 I cmn          init: llama threadpool init, n_threads = 6
0.04.822.702 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'true'
0.04.834.664 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.04.834.730 I srv  llama_server: model loaded
0.04.834.737 I srv  llama_server: listening on http://0.0.0.0:8080
0.04.834.737 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.834.738 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.14.271.324 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.272.042 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
0.18.098.519 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1536, progress = 0.01, t =   3.83 s / 401.42 tokens per second
0.19.418.376 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2048, progress = 0.02, t =   5.15 s / 397.96 tokens per second
0.20.746.441 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2560, progress = 0.02, t =   6.47 s / 395.41 tokens per second
0.22.078.165 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3072, progress = 0.02, t =   7.81 s / 393.54 tokens per second
0.23.416.878 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3584, progress = 0.03, t =   9.14 s / 391.92 tokens per second
0.24.759.950 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4096, progress = 0.03, t =  10.49 s / 390.55 tokens per second
0.26.107.926 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4608, progress = 0.04, t =  11.84 s / 389.33 tokens per second
0.27.460.497 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5120, progress = 0.04, t =  13.19 s / 388.22 tokens per second
0.28.819.669 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5632, progress = 0.04, t =  14.55 s / 387.14 tokens per second
0.30.184.507 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6144, progress = 0.05, t =  15.91 s / 386.11 tokens per second
0.31.553.336 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6656, progress = 0.05, t =  17.28 s / 385.16 tokens per second
0.32.927.458 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7168, progress = 0.06, t =  18.66 s / 384.23 tokens per second
0.34.306.108 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7680, progress = 0.06, t =  20.03 s / 383.35 tokens per second
0.35.692.183 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8192, progress = 0.06, t =  21.42 s / 382.44 tokens per second
0.37.083.944 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8704, progress = 0.07, t =  22.81 s / 381.56 tokens per second
0.38.484.718 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9216, progress = 0.07, t =  24.21 s / 380.63 tokens per second
0.39.885.759 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9728, progress = 0.08, t =  25.61 s / 379.80 tokens per second
0.41.290.955 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10240, progress = 0.08, t =  27.02 s / 378.99 tokens per second
0.42.703.622 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10752, progress = 0.08, t =  28.43 s / 378.17 tokens per second
0.44.119.326 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11264, progress = 0.09, t =  29.85 s / 377.39 tokens per second
0.45.542.264 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11776, progress = 0.09, t =  31.27 s / 376.59 tokens per second
0.46.970.456 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  12288, progress = 0.10, t =  32.70 s / 375.80 tokens per second
0.48.403.965 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  12800, progress = 0.10, t =  34.13 s / 375.02 tokens per second
